,state,city,capital,Distance
0,MG,Belo Horizonte,Belo Horizonte,0
1,MG,Baldim,Belo Horizonte,"69,036"
2,MG,Betim,Belo Horizonte,"23,951"
3,MG,Brumadinho,Belo Horizonte,"36,34"
4,MG,Caeté,Belo Horizonte,"30,809"
5,MG,Capim Branco,Belo Horizonte,"504,101"
6,MG,Contagem,Belo Horizonte,"11,636"
7,MG,Confins,Belo Horizonte,"29,341"
8,MG,Esmeraldas,Belo Horizonte,"4,527"
9,MG,Florestal,Belo Horizonte,"49,571"
10,MG,Ibirité,Belo Horizonte,"15,609"
11,MG,Itaguara,Belo Horizonte,"76,166"
12,MG,Igarapé,Belo Horizonte,"40,315"
13,MG,Itatiaiuçu,Belo Horizonte,"57,933"
14,MG,Jaboticatubas,Belo Horizonte,"49,244"
15,MG,Juatuba,Belo Horizonte,"37,073"
16,MG,Lagoa Santa,Belo Horizonte,"30,022"
17,MG,Nova Lima,Belo Horizonte,"12,797"
18,MG,Mário Campos,Belo Horizonte,"28,916"
19,MG,Mateus Leme,Belo Horizonte,"49,47"
20,MG,Matozinhos,Belo Horizonte,"41,512"
21,MG,Nova União,Belo Horizonte,"2,226"
22,MG,Pedro Leopoldo,Belo Horizonte,"34,496"
23,MG,Raposos,Belo Horizonte,"17,808"
24,MG,Ribeirão das Neves,Belo Horizonte,"20,271"
25,MG,Rio Acima,Belo Horizonte,"25,723"
26,MG,Rio Manso,Belo Horizonte,"53,402"
27,MG,Sabará,Belo Horizonte,"16,976"
28,MG,Santa Luzia,Belo Horizonte,"4,195"
29,MG,São Joaquim de Bicas,Belo Horizonte,"36,321"
30,MG,São José da Lapa,Belo Horizonte,"22,111"
31,MG,Sarzedo,Belo Horizonte,"23,483"
32,MG,Taquaraçu de Minas,Belo Horizonte,"39,454"
33,MG,Vespasiano,Belo Horizonte,"20,283"
34,MG,Nova Lima,Belo Horizonte,"12,797"
35,MG,Contagem,Belo Horizonte,"11,636"
36,MG,Betim,Belo Horizonte,"23,951"
37,MG,Lagoa Santa,Belo Horizonte,"30,022"
38,MG,Confins,Belo Horizonte,"29,341"
39,MG,Santa Luzia,Belo Horizonte,"4,195"
40,PR,Curitiba,Curitiba,0
41,PR,Almirante Tamandaré,Curitiba,"14,709"
42,PR,Araucária,Curitiba,"15,924"
43,PR,Balsa Nova,Curitiba,"37,097"
44,PR,Bocaiúva do Sul,Curitiba,"32,622"
45,PR,Campina Grande do Sul,Curitiba,"25,991"
46,PR,Campo Largo,Curitiba,"25,012"
47,PR,Colombo,Curitiba,"2,506"
48,PR,Contenda,Curitiba,"35,563"
49,PR,Mandirituba,Curitiba,"35,287"
50,PR,Piraquara,Curitiba,"21,246"
51,PR,Quatro Barras,Curitiba,"22,495"
52,PR,Rio Branco do Sul,Curitiba,"30,423"
53,PR,São José dos Pinhais,Curitiba,"12,569"
54,PR,Campo do Tenente,Curitiba,"70,875"
55,PR,Piên,Curitiba,"6,557"
56,PR,Rio Negro,Curitiba,"2,332"
57,RJ,Rio de Janeiro,Rio de Janeiro,0
58,RJ,Belford Roxo,Rio de Janeiro,"27,119"
59,RJ,Duque de Caxias,Rio de Janeiro,"28,339"
60,RJ,Guapimirim,Rio de Janeiro,"71,694"
61,RJ,Itaboraí,Rio de Janeiro,"69,885"
62,RJ,Itaguaí,Rio de Janeiro,"27,706"
63,RJ,Japeri,Rio de Janeiro,"31,723"
64,RJ,Magé,Rio de Janeiro,"6,924"
65,RJ,Nilópolis,Rio de Janeiro,"17,317"
66,RJ,Niterói,Rio de Janeiro,"48,114"
67,RJ,Nova Iguaçu,Rio de Janeiro,"18,476"
68,RJ,Paracambi,Rio de Janeiro,"41,021"
69,RJ,Queimados,Rio de Janeiro,"24,414"
70,RJ,São Gonçalo,Rio de Janeiro,"1,738"
71,RJ,São João de Meriti,Rio de Janeiro,"24,16"
72,RJ,Seropédica,Rio de Janeiro,"23,457"
73,RJ,Mesquita ,Rio de Janeiro,"423,279"
74,RJ,Tanguá,Rio de Janeiro,"84,96"
75,RJ,Rio Bonito,Rio de Janeiro,"94,946"
76,RJ,Cachoeiras de Macacu,Rio de Janeiro,"102,835"
77,RJ,Petrópolis,Rio de Janeiro,"11,345"
78,RJ,Maricá,Rio de Janeiro,"70,585"
79,SP,São Paulo,São Paulo,0
80,SP,Arujá,São Paulo,"40,203"
81,SP,Barueri,São Paulo,"20,436"
82,SP,Biritiba Mirim,São Paulo,"64,329"
83,SP,Caieiras,São Paulo,"22,58"
84,SP,Cajamar,São Paulo,"30,985"
85,SP,Carapicuíba,São Paulo,"17,552"
86,SP,Cotia,São Paulo,"28,703"
87,SP,Diadema,São Paulo,"14,554"
88,SP,Embu,São Paulo,"21,406"
89,SP,Embu-Guaçu,São Paulo,"41,011"
90,SP,Ferraz de Vasconcelos,São Paulo,"30,32"
91,SP,Francisco Morato,São Paulo,"33,298"
92,SP,Franco da Rocha,São Paulo,"28,927"
93,SP,Guararema,São Paulo,"68,592"
94,SP,Guarulhos,São Paulo,"25,268"
95,SP,Itapecerica da Serra,São Paulo,"26,828"
96,SP,Itapevi,São Paulo,"30,958"
97,SP,Itaquaquecetuba,São Paulo,"36,008"
98,SP,Jandira,São Paulo,"24,97"
99,SP,Juquitiba,São Paulo,"54,99"
100,SP,Mairiporã,São Paulo,"28,401"
101,SP,Mauá,São Paulo,"23,774"
102,SP,Mogi das Cruzes,São Paulo,"47,597"
103,SP,Osasco,São Paulo,"12,473"
104,SP,Pirapora do Bom Jesus,São Paulo,"39,603"
105,SP,Poá,São Paulo,"32,666"
106,SP,Ribeirão Pires,São Paulo,"28,693"
107,SP,Rio Grande da Serra,São Paulo,"34,2"
108,SP,Salesópolis,São Paulo,"82,262"
109,SP,Santa Isabel,São Paulo,"6,726"
110,SP,Santana do Parnaíba,São Paulo,Não foi possível encontrar
111,SP,Santo André,São Paulo,"19,991"
112,SP,São Bernardo do Campo,São Paulo,"21,101"
113,SP,São Caetano do Sul,São Paulo,"11,758"
114,SP,São Lourenço da Serra Suzano,São Paulo,"36,458"
115,SP,Suzano,São Paulo,"36,458"
116,SP,Taboão da Serra,São Paulo,"13,742"
117,SP,Vargem Grande Paulista,São Paulo,"36,598"
